City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto natales,-51.7236,-72.4875,-2.86,91,100,0.31,CL,1720305742
1,coahuayana de hidalgo,18.7,-103.6583,30.86,61,32,2.92,MX,1720305782
2,leua,48.2156,18.6071,19.08,60,0,2.11,SK,1720306275
3,kailua-kona,19.6406,-155.9956,26.82,76,44,0.89,US,1720306339
4,gereida,11.2811,25.1414,24.41,69,98,4.46,SD,1720306341
5,long beach,33.767,-118.1892,32.36,68,0,3.09,US,1720306178
6,waitangi,-43.9535,-176.5597,7.12,94,100,5.81,NZ,1720306343
7,goure,13.9835,10.2704,30.8,47,96,4.85,NE,1720306344
8,mammoth lakes,37.6485,-118.9721,32.4,8,0,2.57,US,1720305845
9,hillsboro,45.5229,-122.9898,37.97,25,0,1.34,US,1720306346
10,magadan,59.5667,150.8,11.7,91,100,1.17,RU,1720306347
11,adamstown,-25.066,-130.1015,20.04,68,100,9.89,PN,1720306348
12,ilheus,-14.7889,-39.0494,25.9,78,75,4.12,BR,1720306268
13,hasaki,35.7333,140.8333,27.94,83,100,2.17,JP,1720306155
14,sao joao da barra,-21.6403,-41.0511,22.05,91,0,3.73,BR,1720305827
15,angarsk,52.5367,103.8864,17.4,83,100,0.51,RU,1720306353
16,minas de marcona,-15.2119,-75.1103,12.51,81,43,6.07,PE,1720306354
17,ilulissat,69.2167,-51.1,7.01,87,100,0.0,GL,1720305894
18,bredasdorp,-34.5322,20.0403,11.06,38,83,3.55,ZA,1720306356
19,iqaluit,63.7506,-68.5145,8.85,66,40,2.06,CA,1720306357
20,anadyr,64.75,177.4833,17.28,72,75,2.0,RU,1720306358
21,bhag,29.0415,67.8239,35.47,45,11,8.23,PK,1720306359
22,stanley,54.868,-1.6985,9.48,91,20,2.57,GB,1720306361
23,invercargill,-46.4,168.35,10.01,88,84,8.49,NZ,1720306362
24,tsaratanana,-16.7833,47.65,18.61,59,10,2.06,MG,1720306363
25,puerto ayora,-0.7393,-90.3518,25.98,89,19,1.79,EC,1720306364
26,edinburgh of the seven seas,-37.0676,-12.3116,10.19,68,100,11.75,SH,1720306365
27,huarmey,-10.0681,-78.1522,19.8,80,64,5.05,PE,1720305803
28,valley city,46.9233,-98.0032,22.29,64,0,2.06,US,1720306367
29,freetown,8.484,-13.2299,25.84,89,75,3.09,SL,1720306368
30,goundam,16.4145,-3.6708,32.48,42,37,9.46,ML,1720306369
31,avarua,-21.2078,-159.775,27.03,83,75,5.14,CK,1720306371
32,st. john's,47.5649,-52.7093,17.76,81,100,8.75,CA,1720306372
